2026-03-20 16:05:19,157 [INFO] PROCESS START: PID=49792, Model=v4, Mode=gnn
2026-03-20 16:05:21,125 [INFO] Frame 1 | PID=49792 | Tracks=18 | Max P=0.500
2026-03-20 16:05:21,203 [INFO] Frame 2 | PID=49792 | Tracks=21 | Max P=0.500
2026-03-20 16:05:21,290 [INFO] Frame 3 | PID=49792 | Tracks=23 | Max P=0.534
2026-03-20 16:05:21,378 [INFO] Frame 4 | PID=49792 | Tracks=27 | Max P=0.534
2026-03-20 16:05:21,466 [INFO] Frame 5 | PID=49792 | Tracks=30 | Max P=0.500
2026-03-20 16:05:21,556 [INFO] Frame 6 | PID=49792 | Tracks=34 | Max P=0.500
2026-03-20 16:05:21,650 [INFO] Frame 7 | PID=49792 | Tracks=37 | Max P=0.500
2026-03-20 16:05:21,763 [INFO] Frame 8 | PID=49792 | Tracks=40 | Max P=0.511
2026-03-20 16:05:21,875 [INFO] Frame 9 | PID=49792 | Tracks=43 | Max P=0.500
2026-03-20 16:05:21,988 [INFO] Frame 10 | PID=49792 | Tracks=46 | Max P=0.500
2026-03-20 16:05:22,090 [INFO] Frame 11 | PID=49792 | Tracks=47 | Max P=0.500
2026-03-20 16:05:22,211 [INFO] Frame 12 | PID=49792 | Tracks=47 | Max P=0.500
2026-03-20 16:05:22,312 [INFO] Frame 13 | PID=49792 | Tracks=48 | Max P=0.500
2026-03-20 16:05:22,409 [INFO] Frame 14 | PID=49792 | Tracks=49 | Max P=0.500
2026-03-20 16:05:22,499 [INFO] Frame 15 | PID=49792 | Tracks=50 | Max P=0.500
2026-03-20 16:05:22,594 [INFO] Frame 16 | PID=49792 | Tracks=51 | Max P=0.500
2026-03-20 16:05:22,719 [INFO] Frame 17 | PID=49792 | Tracks=52 | Max P=0.508
2026-03-20 16:05:22,824 [INFO] Frame 18 | PID=49792 | Tracks=52 | Max P=0.500
2026-03-20 16:05:22,955 [INFO] Frame 19 | PID=49792 | Tracks=54 | Max P=0.500
2026-03-20 16:05:23,035 [INFO] Frame 20 | PID=49792 | Tracks=55 | Max P=0.500
2026-03-20 16:05:23,132 [INFO] Frame 21 | PID=49792 | Tracks=57 | Max P=0.500
2026-03-20 16:05:23,260 [INFO] Frame 22 | PID=49792 | Tracks=58 | Max P=0.500
2026-03-20 16:05:23,386 [INFO] Frame 23 | PID=49792 | Tracks=59 | Max P=0.500
2026-03-20 16:05:23,534 [INFO] Frame 24 | PID=49792 | Tracks=60 | Max P=0.500
2026-03-20 16:05:23,674 [INFO] Frame 25 | PID=49792 | Tracks=60 | Max P=0.500
2026-03-20 16:05:23,791 [INFO] Frame 26 | PID=49792 | Tracks=60 | Max P=0.500
2026-03-20 16:05:23,916 [INFO] Frame 27 | PID=49792 | Tracks=60 | Max P=0.500
2026-03-20 16:05:24,022 [INFO] Frame 28 | PID=49792 | Tracks=60 | Max P=0.500
2026-03-20 16:05:24,134 [INFO] Frame 29 | PID=49792 | Tracks=61 | Max P=0.500
2026-03-20 16:05:24,254 [INFO] Frame 30 | PID=49792 | Tracks=63 | Max P=0.500
2026-03-20 16:05:24,390 [INFO] Frame 31 | PID=49792 | Tracks=64 | Max P=0.500
2026-03-20 16:05:24,491 [INFO] Frame 32 | PID=49792 | Tracks=64 | Max P=0.500
2026-03-20 16:05:24,617 [INFO] Frame 33 | PID=49792 | Tracks=64 | Max P=0.500
2026-03-20 16:05:24,744 [INFO] Frame 34 | PID=49792 | Tracks=65 | Max P=0.500
