2026-03-20 16:26:46,145 [INFO] PROCESS START: PID=14680, Model=v6, Mode=gnn
2026-03-20 16:26:47,796 [INFO] Frame 1 | PID=14680 | Tracks=1 | Max P=0.389
2026-03-20 16:26:47,813 [INFO] Frame 2 | PID=14680 | Tracks=1 | Max P=0.391
2026-03-20 16:26:47,825 [INFO] Frame 3 | PID=14680 | Tracks=1 | Max P=0.394
2026-03-20 16:26:47,855 [INFO] Frame 4 | PID=14680 | Tracks=1 | Max P=0.413
2026-03-20 16:26:47,881 [INFO] Frame 5 | PID=14680 | Tracks=2 | Max P=0.451
2026-03-20 16:26:47,910 [INFO] Frame 6 | PID=14680 | Tracks=2 | Max P=0.437
2026-03-20 16:26:47,949 [INFO] Frame 7 | PID=14680 | Tracks=2 | Max P=0.430
2026-03-20 16:26:47,987 [INFO] Frame 8 | PID=14680 | Tracks=2 | Max P=0.427
2026-03-20 16:26:48,027 [INFO] Frame 9 | PID=14680 | Tracks=3 | Max P=0.503
2026-03-20 16:26:48,073 [INFO] Frame 10 | PID=14680 | Tracks=3 | Max P=0.510
2026-03-20 16:26:48,122 [INFO] Frame 11 | PID=14680 | Tracks=3 | Max P=0.463
2026-03-20 16:26:48,170 [INFO] Frame 12 | PID=14680 | Tracks=3 | Max P=0.469
2026-03-20 16:26:48,221 [INFO] Frame 13 | PID=14680 | Tracks=3 | Max P=0.507
2026-03-20 16:26:48,273 [INFO] Frame 14 | PID=14680 | Tracks=4 | Max P=0.465
2026-03-20 16:26:48,326 [INFO] Frame 15 | PID=14680 | Tracks=4 | Max P=0.450
2026-03-20 16:26:48,372 [INFO] Frame 16 | PID=14680 | Tracks=4 | Max P=0.428
2026-03-20 16:26:48,423 [INFO] Frame 17 | PID=14680 | Tracks=4 | Max P=0.459
2026-03-20 16:26:48,471 [INFO] Frame 18 | PID=14680 | Tracks=4 | Max P=0.427
2026-03-20 16:26:48,514 [INFO] Frame 19 | PID=14680 | Tracks=4 | Max P=0.436
2026-03-20 16:26:48,563 [INFO] Frame 20 | PID=14680 | Tracks=4 | Max P=0.438
2026-03-20 16:26:48,613 [INFO] Frame 21 | PID=14680 | Tracks=4 | Max P=0.498
2026-03-20 16:26:48,660 [INFO] Frame 22 | PID=14680 | Tracks=4 | Max P=0.447
2026-03-20 16:26:48,705 [INFO] Frame 23 | PID=14680 | Tracks=4 | Max P=0.439
2026-03-20 16:26:48,756 [INFO] Frame 24 | PID=14680 | Tracks=4 | Max P=0.432
2026-03-20 16:26:48,810 [INFO] Frame 25 | PID=14680 | Tracks=4 | Max P=0.441
2026-03-20 16:26:48,862 [INFO] Frame 26 | PID=14680 | Tracks=5 | Max P=0.463
2026-03-20 16:26:48,908 [INFO] Frame 27 | PID=14680 | Tracks=5 | Max P=0.475
2026-03-20 16:26:48,958 [INFO] Frame 28 | PID=14680 | Tracks=5 | Max P=0.439
2026-03-20 16:26:49,010 [INFO] Frame 29 | PID=14680 | Tracks=5 | Max P=0.468
2026-03-20 16:26:49,057 [INFO] Frame 30 | PID=14680 | Tracks=5 | Max P=0.436
2026-03-20 16:26:49,101 [INFO] Frame 31 | PID=14680 | Tracks=5 | Max P=0.436
2026-03-20 16:26:49,149 [INFO] Frame 32 | PID=14680 | Tracks=5 | Max P=0.488
2026-03-20 16:26:49,194 [INFO] Frame 33 | PID=14680 | Tracks=5 | Max P=0.414
2026-03-20 16:26:49,242 [INFO] Frame 34 | PID=14680 | Tracks=5 | Max P=0.444
2026-03-20 16:26:49,286 [INFO] Frame 35 | PID=14680 | Tracks=5 | Max P=0.463
2026-03-20 16:26:49,328 [INFO] Frame 36 | PID=14680 | Tracks=5 | Max P=0.444
2026-03-20 16:26:49,372 [INFO] Frame 37 | PID=14680 | Tracks=5 | Max P=0.469
2026-03-20 16:26:49,411 [INFO] Frame 38 | PID=14680 | Tracks=5 | Max P=0.516
2026-03-20 16:26:49,456 [INFO] Frame 39 | PID=14680 | Tracks=5 | Max P=0.457
2026-03-20 16:26:49,495 [INFO] Frame 40 | PID=14680 | Tracks=5 | Max P=0.465
2026-03-20 16:26:49,540 [INFO] Frame 41 | PID=14680 | Tracks=5 | Max P=0.456
2026-03-20 16:26:49,585 [INFO] Frame 42 | PID=14680 | Tracks=5 | Max P=0.486
2026-03-20 16:26:49,624 [INFO] Frame 43 | PID=14680 | Tracks=5 | Max P=0.468
2026-03-20 16:26:49,668 [INFO] Frame 44 | PID=14680 | Tracks=5 | Max P=0.462
2026-03-20 16:26:49,705 [INFO] Frame 45 | PID=14680 | Tracks=5 | Max P=0.440
2026-03-20 16:26:49,745 [INFO] Frame 46 | PID=14680 | Tracks=5 | Max P=0.451
